run:
GENERATION 1
0.3196999:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
4.5666857:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
1.5376722:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
3.2212598:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
1.0362306:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
6.859262:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
4.4626527:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, -0.116560325, 0.42006183, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
0.005220215:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
1.4287566:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
1.6634783:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
GENERATION 4
10.659351:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
8.645137:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, -0.082017764, 0.33733383]
7.2449417:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
4.2375083:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
4.6244345:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
1.3103735:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
1.364831:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, -0.116560325, 0.42006183, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
0.08632037:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, -0.44785628, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
3.9495091:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
1.4916462:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
GENERATION 5
0.40049073:Brain [-0.031087613, 0.4013248, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, 0.6181758, 0.33733383]
6.633636:Brain [-0.031087613, 0.4016955, 0.5612486, -0.17551562, 0.24145125, -0.1593084, 0.4387215, -0.46027935, 0.32307702, -0.10354319, 0.3040529, -0.5338428, 0.40439457, 0.7690349, -0.3020472, -0.8567804, -0.082017764, -0.5043557]
